`,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1
9/11/2021,2:39,,,,,,Aggressive Driving/Road Rage,Unspecified,4455765,Sedan
03/26/2022,11:45,,,,,,Pavement Slippery,,4513547,Sedan
06/29/2022,6:55,,,,,,Following Too Closely,Unspecified,4541903,Sedan
9/11/2021,9:35,BROOKLYN,11208,40.667202,-73.8665,"(40.667202, -73.8665)",Unspecified,,4456314,Sedan
12/14/2021,8:13,BROOKLYN,11233,40.683304,-73.917274,"(40.683304, -73.917274)",,,4486609,
04/14/2021,12:47,,,,,,Unspecified,Unspecified,4407458,Dump
12/14/2021,17:05,,,40.709183,-73.956825,"(40.709183, -73.956825)",Passing Too Closely,Unspecified,4486555,Sedan
12/14/2021,8:17,BRONX,10475,40.86816,-73.83148,"(40.86816, -73.83148)",Unspecified,Unspecified,4486660,Sedan
12/14/2021,21:10,BROOKLYN,11207,40.67172,-73.8971,"(40.67172, -73.8971)",Driver Inexperience,Unspecified,4487074,Sedan
12/14/2021,14:58,MANHATTAN,10017,40.75144,-73.97397,"(40.75144, -73.97397)",Passing Too Closely,Unspecified,4486519,Sedan
12/13/2021,0:34,,,40.701275,-73.88887,"(40.701275, -73.88887)",Passing or Lane Usage Improper,Unspecified,4486934,Station Wagon/Sport Utility Vehicle
12/14/2021,16:50,QUEENS,11413,40.675884,-73.75577,"(40.675884, -73.75577)",Turning Improperly,Unspecified,4487127,Sedan
12/14/2021,8:30,,,,,,Unsafe Lane Changing,Unspecified,4486634,Station Wagon/Sport Utility Vehicle
12/14/2021,0:59,,,40.59662,-74.00231,"(40.59662, -74.00231)",Unsafe Speed,,4486564,Sedan
12/14/2021,23:10,QUEENS,11434,40.66684,-73.78941,"(40.66684, -73.78941)",Reaction to Uninvolved Vehicle,Unspecified,4486635,Sedan
12/14/2021,17:58,BROOKLYN,11217,40.68158,-73.97463,"(40.68158, -73.97463)",Passing Too Closely,Unspecified,4486604,Tanker
12/14/2021,20:03,BROOKLYN,11226,40.65068,-73.95881,"(40.65068, -73.95881)",Steering Failure,,4486991,Sedan
12/14/2021,1:28,,,,,,Traffic Control Disregarded,Unspecified,4486284,Station Wagon/Sport Utility Vehicle
12/11/2021,19:43,BRONX,10463,40.87262,-73.904686,"(40.87262, -73.904686)",Unspecified,Unspecified,4487040,Station Wagon/Sport Utility Vehicle
12/14/2021,14:30,,,40.783268,-73.82485,"(40.783268, -73.82485)",Following Too Closely,Unspecified,4486537,Station Wagon/Sport Utility Vehicle
12/11/2021,4:45,MANHATTAN,10001,40.748917,-73.993546,"(40.748917, -73.993546)",Following Too Closely,Unspecified,4486905,Station Wagon/Sport Utility Vehicle
12/14/2021,5:46,,,40.744644,-73.77041,"(40.744644, -73.77041)",Other Vehicular,Other Vehicular,4487122,Station Wagon/Sport Utility Vehicle
12/13/2021,6:30,QUEENS,11372,40.75373,-73.88505,"(40.75373, -73.88505)",Unspecified,,4486967,Sedan
12/14/2021,3:43,,,40.804375,-73.93742,"(40.804375, -73.93742)",Unspecified,,4486304,Station Wagon/Sport Utility Vehicle
12/13/2021,17:40,STATEN ISLAND,10301,40.63165,-74.08762,"(40.63165, -74.08762)",Unspecified,Unspecified,4487001,Sedan
12/14/2021,17:31,BROOKLYN,11230,40.623104,-73.95809,"(40.623104, -73.95809)",Unspecified,,4486516,Sedan
12/14/2021,20:13,BROOKLYN,11215,40.66576,-73.9845,"(40.66576, -73.9845)",Passing Too Closely,Unspecified,4486605,Sedan
12/14/2021,12:54,BROOKLYN,11217,40.687534,-73.9775,"(40.687534, -73.9775)",Unspecified,Unspecified,4487052,Sedan
12/14/2021,17:15,BROOKLYN,11211,40.710957,-73.951126,"(40.710957, -73.951126)",Passing or Lane Usage Improper,Unspecified,4486556,Bus
12/14/2021,22:49,BRONX,10455,40.81813,-73.910126,"(40.81813, -73.910126)",Driver Inattention/Distraction,Unspecified,4486875,Taxi
12/12/2021,9:00,QUEENS,11385,40.70447,-73.90148,"(40.70447, -73.90148)",Passing Too Closely,Unspecified,4486933,Station Wagon/Sport Utility Vehicle
12/14/2021,16:25,,,40.784615,-73.953964,"(40.784615, -73.953964)",Driver Inattention/Distraction,Driver Inattention/Distraction,4486581,Van
04/14/2021,14:30,,,,,,Driver Inattention/Distraction,Unspecified,4407520,Bus
12/16/2021,6:59,,,,,,Traffic Control Disregarded,,4486960,
06/29/2022,16:00,,,,,,Driver Inattention/Distraction,Unspecified,4542336,Motorscooter
04/15/2021,16:15,,,,,,Pavement Slippery,,4407665,Station Wagon/Sport Utility Vehicle
7/07/2021,11:42,,,,,,Unsafe Lane Changing,Unspecified,4456591,Sedan
7/12/2022,17:50,BROOKLYN,11225,40.663303,-73.96049,"(40.663303, -73.96049)",Oversized Vehicle,Unspecified,4545699,Sedan
03/23/2022,10:00,,,,,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,4512922,Bike
7/09/2021,0:43,,,40.720535,-73.88885,"(40.720535, -73.88885)",Unspecified,,4456659,Bus
04/24/2022,16:45,,,40.607685,-74.13892,"(40.607685, -74.13892)",Driver Inattention/Distraction,Unspecified,4521660,Station Wagon/Sport Utility Vehicle
04/24/2022,4:49,,,40.855972,-73.869896,"(40.855972, -73.869896)",Unspecified,Unspecified,4521759,Station Wagon/Sport Utility Vehicle
04/22/2022,17:17,,,40.790276,-73.9396,"(40.790276, -73.9396)",Traffic Control Disregarded,,4522226,E-Bike
04/24/2022,1:30,BROOKLYN,11220,40.642986,-74.01621,"(40.642986, -74.01621)",Unspecified,,4522015,Station Wagon/Sport Utility Vehicle
04/24/2022,6:00,QUEENS,11411,0,0,"(0.0, 0.0)",Unsafe Lane Changing,Unspecified,4521460,Sedan
